date,pm25,pm10,no2,so2,co,temp_mean,temp_min,temp_max,humidity_mean,dew_point_mean,wind_speed_mean,wind_speed_max,wind_gust_max,wind_dir_mean,pressure_mean,precip_sum,cloud_mean,radiation_mean
2018-06-04,62.0,,,,,14.15,7.3,19.8,59.708333333333336,5.408333333333334,19.25,29.0,53.6,242.16666666666666,970.8333333333334,2.5,44.208333333333336,302.375
2018-06-05,59.0,,,,,19.6125,14.1,25.2,41.125,5.179166666666666,18.591666666666665,28.7,53.6,224.70833333333334,974.5291666666667,0.0,66.54166666666667,320.2083333333333
2018-06-06,57.0,,,,,21.916666666666668,12.6,29.0,36.75,5.183333333333334,11.366666666666667,18.4,35.6,158.25,975.5124999999999,0.0,56.791666666666664,280.25
2018-06-07,63.0,,,,,21.537499999999998,15.3,27.6,39.791666666666664,7.075,10.125,16.0,27.4,112.04166666666667,968.9083333333333,0.0,58.208333333333336,162.91666666666666
2018-06-08,74.0,,,,,20.108333333333334,13.1,25.1,57.083333333333336,11.045833333333334,13.033333333333333,24.4,42.5,271.3333333333333,965.4083333333333,3.9,71.83333333333333,204.25
2018-06-09,66.0,,,,,14.779166666666667,11.4,19.2,53.75,4.6625000000000005,16.025000000000002,20.4,39.6,112.875,969.1583333333333,2.3,92.70833333333333,205.25
2018-06-10,59.0,,,,,14.9125,7.4,20.3,55.75,5.008333333333334,6.425,11.3,25.9,260.25,967.7708333333334,0.0,46.333333333333336,308.2083333333333
2018-06-11,71.0,,,,,17.604166666666668,8.9,23.7,52.541666666666664,6.616666666666667,6.658333333333334,10.5,21.6,167.16666666666666,965.4208333333332,0.0,14.083333333333334,341.0416666666667
2018-06-12,71.0,,,,,17.679166666666667,12.1,22.4,48.458333333333336,6.008333333333333,12.641666666666666,20.0,40.7,256.5833333333333,964.1416666666668,0.2,16.041666666666668,312.4583333333333
2018-06-13,82.0,,,,,14.241666666666667,9.4,18.6,52.541666666666664,4.0625,10.808333333333332,22.9,43.6,256.0,968.1750000000001,0.8,22.041666666666668,258.5
2018-06-14,72.0,,,,,15.983333333333334,7.1,22.4,51.083333333333336,4.816666666666666,9.795833333333333,15.9,33.8,270.0416666666667,971.6458333333334,0.0,56.416666666666664,240.83333333333334
2018-06-15,68.0,,,,,20.691666666666666,15.1,27.0,40.333333333333336,5.5375000000000005,15.541666666666666,25.9,49.7,232.375,969.0375,0.0,80.16666666666667,247.16666666666666
2018-06-16,73.0,,,,,17.358333333333334,14.1,21.0,60.583333333333336,9.520833333333334,5.929166666666667,10.4,20.5,205.75,968.2416666666667,0.4,73.79166666666667,162.75
2018-06-17,,,,,,16.729166666666668,12.9,20.6,55.833333333333336,7.1875,10.104166666666666,16.9,38.5,261.4583333333333,963.9250000000001,0.0,92.70833333333333,267.0833333333333
2018-06-18,70.0,,,,,16.912499999999998,11.5,23.2,59.916666666666664,8.895833333333334,11.679166666666667,24.9,46.1,92.29166666666667,959.9499999999999,1.9,69.70833333333333,258.2083333333333
2018-06-19,71.0,,,,,17.212500000000002,10.9,21.5,56.375,7.8999999999999995,14.766666666666666,24.5,48.6,277.375,961.2791666666667,1.2,58.791666666666664,261.5
2018-06-20,74.0,,,,,19.045833333333334,14.1,24.4,59.0,10.0375,13.049999999999999,26.3,46.1,250.91666666666666,965.1708333333332,0.6000000000000001,44.458333333333336,250.54166666666666
2018-06-21,73.0,,,,,22.829166666666666,14.6,29.6,41.5,7.245833333333334,15.458333333333334,25.2,47.2,226.25,964.4125,0.0,53.25,243.95833333333334
2018-06-22,73.0,,,,,20.641666666666666,16.4,24.6,50.625,9.9,14.808333333333332,26.1,63.7,244.41666666666666,960.5625,2.7,65.83333333333333,198.0
2018-06-23,61.0,,,,,19.05,11.6,24.3,49.791666666666664,7.320833333333333,10.279166666666667,18.1,37.1,266.7916666666667,962.0416666666666,0.0,44.375,249.95833333333334
2018-06-24,69.0,,,,,19.391666666666666,12.4,24.7,58.791666666666664,10.383333333333333,8.958333333333334,17.3,32.8,305.3333333333333,963.4041666666667,0.0,34.125,289.4583333333333
2018-06-25,64.0,,,,,17.379166666666666,12.9,21.8,72.83333333333333,11.9625,11.179166666666667,16.9,34.6,317.375,965.7833333333333,3.8,39.208333333333336,259.9166666666667
2018-06-26,75.0,,,,,16.779166666666665,13.4,20.9,81.45833333333333,13.3125,8.745833333333334,12.5,28.1,142.04166666666666,965.2375000000001,9.3,90.45833333333333,185.125
2018-06-27,66.0,,,,,16.25,13.9,19.2,88.83333333333333,14.354166666666666,10.45,14.8,28.1,116.875,963.025,18.400000000000002,89.41666666666667,148.125
2018-06-28,64.0,,,,,17.329166666666666,13.5,21.0,83.625,14.320833333333333,8.545833333333333,14.2,32.8,267.2916666666667,960.1291666666666,3.2,90.16666666666667,209.33333333333334
2018-06-29,58.0,,,,,19.304166666666667,15.2,23.9,81.0,15.720833333333333,12.320833333333333,16.5,42.5,257.375,960.1958333333333,1.8,70.91666666666667,201.125
2018-06-30,72.0,,,,,20.679166666666667,14.8,25.7,76.83333333333333,16.166666666666668,6.004166666666666,12.1,23.4,173.0,963.8208333333333,1.3,48.0,258.1666666666667
2018-07-01,70.0,,,,,20.391666666666666,16.5,24.1,75.875,15.758333333333333,13.433333333333332,16.5,32.4,17.5,968.1916666666666,1.3,44.833333333333336,256.7083333333333
2018-07-02,67.0,,,,,21.604166666666668,16.1,26.5,62.791666666666664,13.470833333333333,15.704166666666667,24.3,43.6,279.9583333333333,970.6125000000001,0.2,30.375,274.5416666666667
2018-07-03,67.0,,,,,20.479166666666668,14.9,26.5,64.25,13.270833333333334,14.225,20.2,40.3,247.41666666666666,972.0333333333333,1.1,38.083333333333336,273.5416666666667
2018-07-04,59.0,,,,,17.5,11.6,23.0,63.083333333333336,9.779166666666667,11.133333333333333,13.3,29.5,50.375,975.2208333333333,0.0,4.083333333333333,338.6666666666667
2018-07-05,62.0,,,,,19.879166666666666,12.4,26.2,57.666666666666664,10.458333333333334,8.291666666666666,11.4,23.8,115.20833333333333,973.3249999999999,0.0,40.5,333.7083333333333
2018-07-06,61.0,,,,,23.166666666666668,15.9,30.1,51.458333333333336,12.054166666666667,11.091666666666667,16.8,31.7,152.79166666666666,968.4916666666667,0.5,88.875,270.0833333333333
2018-07-07,56.0,,,,,24.795833333333334,19.5,30.7,53.708333333333336,14.25,11.854166666666666,20.3,39.2,243.25,965.6999999999999,0.0,47.458333333333336,285.5
2018-07-08,65.0,,,,,23.337500000000002,18.1,29.0,67.08333333333333,16.420833333333334,9.995833333333334,14.3,27.4,146.58333333333334,967.3458333333333,0.4,50.375,221.79166666666666
2018-07-09,65.0,,,,,25.070833333333336,18.2,31.3,53.625,14.154166666666667,8.445833333333333,12.7,20.9,94.875,968.0583333333334,0.0,31.75,322.125
2018-07-10,66.0,,,,,21.912499999999998,19.4,25.9,68.45833333333333,15.533333333333333,6.920833333333333,12.3,24.1,123.0,966.6999999999999,8.4,85.45833333333333,158.625
2018-07-11,63.0,,,,,21.825,18.0,26.9,68.16666666666667,15.104166666666666,7.858333333333333,11.9,26.3,90.75,965.7583333333333,1.4000000000000001,84.75,214.20833333333334
2018-07-12,68.0,,,,,21.158333333333335,17.0,26.6,73.45833333333333,15.9375,5.370833333333334,12.0,36.7,137.91666666666666,963.0625,2.4,70.125,230.83333333333334
2018-07-13,66.0,,,,,21.6125,16.5,27.0,73.20833333333333,16.091666666666665,5.6625000000000005,12.4,25.9,136.75,960.9708333333333,2.5,60.666666666666664,247.625
2018-07-14,96.0,,,,,21.895833333333332,16.3,27.1,70.33333333333333,15.9,10.25,16.9,37.1,52.833333333333336,960.6333333333333,0.7999999999999999,57.416666666666664,252.04166666666666
2018-07-15,80.0,,,,,21.145833333333332,17.2,24.9,77.41666666666667,16.900000000000002,16.979166666666668,26.7,47.5,47.416666666666664,962.9708333333333,5.1000000000000005,70.79166666666667,228.0
2018-07-16,84.0,,,,,21.791666666666668,17.1,26.0,59.875,13.304166666666667,21.075,26.8,53.6,41.083333333333336,966.9375,0.30000000000000004,24.25,281.0833333333333
2018-07-17,76.0,,,,,21.108333333333334,14.8,26.1,50.333333333333336,9.833333333333334,16.408333333333335,21.8,42.8,39.875,971.1833333333334,0.0,0.08333333333333333,330.375
2018-07-18,75.0,,,,,22.087500000000002,15.0,27.6,49.375,10.358333333333333,9.6875,12.3,27.0,56.708333333333336,973.4499999999999,0.0,28.708333333333332,324.4166666666667
2018-07-19,72.0,,,,,23.375,15.5,29.1,47.541666666666664,10.366666666666667,5.720833333333334,9.7,18.7,118.16666666666667,972.5791666666668,0.0,68.125,259.0416666666667
2018-07-20,78.0,,,,,24.558333333333334,17.0,30.6,45.25,10.758333333333333,8.799999999999999,14.8,32.8,138.5,970.1166666666667,0.0,80.375,234.625
2018-07-21,80.0,,,,,23.016666666666666,18.0,28.5,59.708333333333336,14.020833333333334,12.141666666666666,20.3,39.2,87.5,966.9375,2.4000000000000004,72.91666666666667,180.625
2018-07-22,62.0,,,,,14.395833333333334,12.0,17.0,77.04166666666667,9.95,22.195833333333336,29.8,56.9,33.625,965.6583333333333,10.4,72.79166666666667,108.70833333333333
