season_group,feature_set,model,mae,rmse,r2,smape
cold,CORE_PM10,RandomForest,36.169070679379345,85.91089256383346,0.11903903296005536,53.130230226854145
cold,CORE_PM10_TSP,RandomForest,36.24376396861402,85.94184946994704,0.11840403223636231,53.30644362095565
cold,CORE,RandomForest,36.71046272755003,85.36989434096441,0.13009927655729603,55.03354095891015
cold,CORE_TSP,RandomForest,36.75410925979415,86.1587773148929,0.11394790115010178,55.458648878948495
warm,CORE_PM10_TSP,RandomForest,27.02314178989217,70.91058742411289,-0.12234876259606153,96.70962160517382
warm,CORE_TSP,RandomForest,27.272628057008657,69.64487979811891,-0.08263995867090523,97.93213801934739
warm,CORE_PM10,RandomForest,27.390134728793797,70.32666703218437,-0.10394067913749838,97.50898483174498
warm,CORE,RandomForest,28.683323279797786,71.54619437362672,-0.14255928000355933,98.16430046966127
