month,mae,rmse,r2,smape
2025-03,6.927510959587122,9.271634924234695,-3.774859270961394,53.42867285416624
2025-04,7.828712926606142,10.201732992769633,-0.2578009824424772,74.91475334095499
2025-05,9.950901043998416,12.814004803325076,-0.048648302239509444,77.06557145457988
2025-06,9.790497141455315,11.321228454414536,-0.22602574175672796,94.06482480885445
2025-07,16.953254514112587,26.30859885305542,0.04895803530386078,102.92972860597264
2025-08,7.991843359745408,9.730002296931293,-0.23397891646535052,99.58746428321874
2025-09,86.72359151613266,161.1656815683421,-0.1232952596783623,92.68337985739437
2025-10,10.11123536061274,12.391734318440477,0.1090444578495362,58.333052728116165
2025-11,24.60256355718119,61.464096648488415,-0.077904120264769,75.94855396335353
2025-12,87.920101006411,135.8375455091242,-0.008341080395028788,62.4994672632048
2026-01,56.332253209564925,99.918235965703,0.29343361066307194,46.416360066910876
2026-02,17.77186388819459,23.68854555543036,0.15095865780868034,38.94281507887233
2026-03,9.11067617049243,11.46742360654357,-0.0786545968337049,24.28722488461413
