feature_set,model,fold,mae,rmse,r2,smape
CORE,RandomForest,1,18.925659496254607,30.32377864693401,0.34628520392100337,42.208067161402674
CORE,RandomForest,2,15.617149031626036,23.29326137510176,0.12591247719195542,32.53896801115557
CORE,RandomForest,3,9.174817515545733,13.952932363563002,-0.01905119071717709,53.883200669274004
CORE,RandomForest,4,14.067956452202937,22.938534603538223,0.3184920817547582,59.759334075000645
CORE,RandomForest,5,36.90049273293596,118.58854419403065,0.14744504350933896,51.49333657403905
CORE,XGBoost,1,19.522457531399198,30.062836379364406,0.35748749355778797,43.2368125272482
CORE,XGBoost,2,17.531870231204564,25.41204537633866,-0.04033585184199051,36.338359103092614
CORE,XGBoost,3,9.999203011194865,14.439940210437463,-0.09142981346683476,57.985589485569314
CORE,XGBoost,4,14.647479192945694,23.424402659091776,0.28931587321160834,61.699034123063825
CORE,XGBoost,5,37.731450480990944,116.76043162177129,0.1735277200975841,53.87800756770027
CORE,LightGBM,1,19.70643699989298,30.243242079657804,0.34975297967125074,43.66071236146481
CORE,LightGBM,2,17.994622573732645,25.53504867429112,-0.05043141370516713,37.187045997506466
CORE,LightGBM,3,9.78711552954655,14.144748032831632,-0.04726226161844638,58.06398052785323
CORE,LightGBM,4,15.550396345092011,24.732092026935913,0.2077517774902261,64.16651515762524
CORE,LightGBM,5,38.01391453003321,117.39700724435438,0.16449133207931743,55.18524948615746
CORE,CatBoost,1,20.771643714939934,32.60274593972257,0.24433372782508134,46.18992796179662
CORE,CatBoost,2,15.558546923560046,23.48623381196201,0.1113697742496762,33.073119764190395
CORE,CatBoost,3,10.522730814503744,14.516498668352993,-0.1030336967066241,61.88859444546545
CORE,CatBoost,4,14.861037960853297,24.19910059894515,0.2415306843835101,62.28662007619123
CORE,CatBoost,5,38.40912672732419,121.43042654989723,0.10609380010523006,53.030161282126585
CORE_PM10,RandomForest,1,18.497154775902185,29.68482826362141,0.37354372937866986,41.46597045698484
CORE_PM10,RandomForest,2,15.924845808997123,23.291635727110062,0.12603447891755692,33.023177805553466
CORE_PM10,RandomForest,3,9.048561508289536,13.712732380672003,0.015732775827384193,53.63455827346171
CORE_PM10,RandomForest,4,14.445363450569737,23.85643338104032,0.26285894956306743,59.97769789705587
CORE_PM10,RandomForest,5,36.29175159037376,118.65141417678707,0.14654083604328783,50.45108391045701
CORE_PM10,XGBoost,1,19.101469965616864,29.24834145609722,0.3918311562114225,42.720040438891765
CORE_PM10,XGBoost,2,17.74805856704712,25.581808697283343,-0.0542820560546331,36.502405992335774
CORE_PM10,XGBoost,3,9.96601075659858,14.39765729654066,-0.08504734015465676,57.70249639323711
CORE_PM10,XGBoost,4,14.9460292201572,23.98347660522942,0.2549870158803784,62.39872071894932
CORE_PM10,XGBoost,5,36.614217916064796,117.26579884767918,0.1663578956972268,51.291048534536664
CORE_PM10,LightGBM,1,19.36044370542189,30.72151658077075,0.3290240076407992,43.36962471280396
CORE_PM10,LightGBM,2,17.81218052151538,25.27558895863047,-0.029193155139783267,36.857276211470726
CORE_PM10,LightGBM,3,9.601784570000898,14.416431599657958,-0.08787895212688701,55.49488174722621
CORE_PM10,LightGBM,4,15.8629737667203,25.36058171385668,0.166975090768554,63.84748722936537
CORE_PM10,LightGBM,5,36.685714033857785,116.2076282100272,0.18133507651286807,52.244963603393536
CORE_PM10,CatBoost,1,20.50907495225149,31.40888187219696,0.298663193255008,46.63201346055749
CORE_PM10,CatBoost,2,16.166567074065764,23.6694321089395,0.09745264580819113,34.20770939395772
CORE_PM10,CatBoost,3,10.504273689984954,14.349569321444141,-0.07781135836210518,62.32116136834153
CORE_PM10,CatBoost,4,14.814506254961072,24.20529247293169,0.24114249249698172,61.96067490838183
CORE_PM10,CatBoost,5,37.20971312284157,120.9983228795852,0.11244431566899027,50.84265284310706
CORE_TSP,RandomForest,1,18.613106909363907,29.79366360452835,0.36894167687335677,41.61981837177569
CORE_TSP,RandomForest,2,17.016153305480767,23.801560613646444,0.08734804513902772,34.81302224708571
CORE_TSP,RandomForest,3,9.285144625925382,13.914989496292154,-0.013516418484128323,54.82269570055153
CORE_TSP,RandomForest,4,14.632221482150094,23.773352094719765,0.2679842744895796,60.553645218542364
CORE_TSP,RandomForest,5,38.37243362103656,118.69338668205918,0.1459369131077496,54.568043212812675
CORE_TSP,XGBoost,1,19.802540546629167,30.52472426317605,0.337592595565132,44.0095278705074
CORE_TSP,XGBoost,2,19.57985388353136,27.920452968425533,-0.25585425279755536,38.37500576994125
CORE_TSP,XGBoost,3,10.888242274125417,16.05067197619461,-0.34850158510762475,60.414692838301306
CORE_TSP,XGBoost,4,14.225513148413764,23.98931780040444,0.2546240746556424,58.37242937192858
CORE_TSP,XGBoost,5,36.94684806717767,114.45436652239505,0.20585164563480207,52.20729686656951
CORE_TSP,LightGBM,1,19.557044404913793,30.754377497005972,0.3275878364810111,43.94142476878847
CORE_TSP,LightGBM,2,18.151820207984514,25.46356110835589,-0.04455810039781816,37.065608495402955
CORE_TSP,LightGBM,3,10.510578110426183,15.175371493166098,-0.2054346903915818,59.88051526919901
CORE_TSP,LightGBM,4,16.174923672786885,25.58436914728451,0.15220863023468234,64.3236083520683
CORE_TSP,LightGBM,5,39.32510149155345,116.79545070245864,0.1730318904868654,57.160535028358225
CORE_TSP,CatBoost,1,19.228955205730085,30.890335165384215,0.32162955220724543,43.04547863993732
CORE_TSP,CatBoost,2,17.80263319424296,24.704076519200434,0.016823320524146812,37.02049891791008
CORE_TSP,CatBoost,3,10.780382862662377,15.299660212446977,-0.22526095516693245,61.6420016993239
CORE_TSP,CatBoost,4,15.368594335394814,24.826112361853472,0.2017167823848528,62.06218825560932
CORE_TSP,CatBoost,5,39.152317831711365,122.46870393140156,0.0907419559324244,55.00496915854435
CORE_PM10_TSP,RandomForest,1,18.45653845124699,29.591466357185947,0.3774780743635111,41.38838396455571
CORE_PM10_TSP,RandomForest,2,15.952669620810449,23.282448729273664,0.12672378523928673,33.01009530383671
CORE_PM10_TSP,RandomForest,3,9.13335982637682,13.71903245928866,0.014828158836076577,54.42304753854054
CORE_PM10_TSP,RandomForest,4,14.553741732271531,23.956308808950237,0.256673918697672,60.23770461188575
CORE_PM10_TSP,RandomForest,5,36.41982326583512,118.6342329668623,0.14678798690103922,50.77113154876254
CORE_PM10_TSP,XGBoost,1,19.49303240521749,30.562183918513718,0.3359657976731031,43.0896735677048
CORE_PM10_TSP,XGBoost,2,19.27464394463433,27.958034598930315,-0.2592373508266037,37.88814757526991
CORE_PM10_TSP,XGBoost,3,10.674010404374867,15.753567600181052,-0.29904101846204045,59.345782910165354
CORE_PM10_TSP,XGBoost,4,13.97170480102963,23.63772500144477,0.27631275630527397,58.026991727999956
CORE_PM10_TSP,XGBoost,5,35.91269755840301,115.67679573163794,0.18879726083836956,49.137572414696535
CORE_PM10_TSP,LightGBM,1,19.009442233115124,30.466829513872046,0.3401029240508583,42.60940198873483
CORE_PM10_TSP,LightGBM,2,17.931417327566113,25.68600236709222,-0.06288764169169525,36.48673591619221
CORE_PM10_TSP,LightGBM,3,9.87318160562136,14.593665211945744,-0.1147918392580145,57.152284547915635
CORE_PM10_TSP,LightGBM,4,15.561336476324055,25.274785836659493,0.17260187098128177,62.555674442231116
CORE_PM10_TSP,LightGBM,5,37.805552773127964,116.58561077421896,0.17600075684256156,54.61509736566445
CORE_PM10_TSP,CatBoost,1,20.309078827970023,31.221597502567395,0.30700209676548695,46.0003511357982
CORE_PM10_TSP,CatBoost,2,16.38895856662445,23.60041427499557,0.10270845799071426,34.447902637997196
CORE_PM10_TSP,CatBoost,3,10.514171449170476,14.373688975568836,-0.08143770906459213,62.50852069533759
CORE_PM10_TSP,CatBoost,4,15.119412073376374,24.501641739621846,0.22244711593374422,62.66561042973411
CORE_PM10_TSP,CatBoost,5,37.67328178971883,121.27618719344576,0.10836321407446048,52.09889905296825
