fold,approach,threshold,prevalence_pct,precision,recall,f1,average_precision,roc_auc
1,Regression@100,100.0,7.323943661971831,0.0,0.0,0.0,0.15372096235395477,0.7119476268412439
1,RegressionTuned,100.0,7.323943661971831,0.0,0.0,0.0,0.15372096235395477,0.7119476268412439
1,LogisticTuned,0.5,7.323943661971831,0.18181818181818182,0.23076923076923078,0.2033898305084746,0.15042859275451342,0.6939443535188216
1,RandomForestClassifierTuned,0.5,7.323943661971831,0.1111111111111111,0.11538461538461539,0.11320754716981132,0.15761960058815827,0.760229132569558
1,HistGradientBoostingClassifierTuned,0.5,7.323943661971831,0.125,0.038461538461538464,0.058823529411764705,0.169943888667211,0.7549684358194997
2,Regression@100,100.0,13.239436619718308,0.5555555555555556,0.2127659574468085,0.3076923076923077,0.49536564908343694,0.8952749378281294
2,RegressionTuned,41.5,13.239436619718308,0.20353982300884957,0.9787234042553191,0.336996336996337,0.49536564908343694,0.8952749378281294
2,LogisticTuned,0.15499999999999997,13.239436619718308,0.2606060606060606,0.9148936170212766,0.4056603773584906,0.5872937074634833,0.8819425255595468
2,RandomForestClassifierTuned,0.055,13.239436619718308,0.21962616822429906,1.0,0.36015325670498083,0.48482848834710546,0.8821497651284884
2,HistGradientBoostingClassifierTuned,0.05,13.239436619718308,0.33064516129032256,0.8723404255319149,0.47953216374269003,0.5501033347763037,0.8956203371096989
3,Regression@100,100.0,15.211267605633802,1.0,0.16666666666666666,0.2857142857142857,0.5234109496202747,0.8142611049587793
3,RegressionTuned,73.0,15.211267605633802,0.421875,0.5,0.4576271186440678,0.5234109496202747,0.8142611049587793
3,LogisticTuned,0.8749999999999999,15.211267605633802,0.5172413793103449,0.2777777777777778,0.3614457831325301,0.47897344067598646,0.8240433124154055
3,RandomForestClassifierTuned,0.30999999999999994,15.211267605633802,0.4594594594594595,0.6296296296296297,0.53125,0.4857908480669553,0.8425310692752552
3,HistGradientBoostingClassifierTuned,0.19,15.211267605633802,0.6578947368421053,0.46296296296296297,0.5434782608695652,0.5210985888551588,0.8464993232435093
4,Regression@100,100.0,5.633802816901409,0.4,0.4,0.4,0.29668472087382713,0.8698507462686567
4,RegressionTuned,57.0,5.633802816901409,0.13709677419354838,0.85,0.2361111111111111,0.29668472087382713,0.8698507462686567
4,LogisticTuned,0.16499999999999998,5.633802816901409,0.08771929824561403,0.75,0.15706806282722513,0.33130825021188054,0.7753731343283582
4,RandomForestClassifierTuned,0.25499999999999995,5.633802816901409,0.16901408450704225,0.6,0.26373626373626374,0.328956715499156,0.8492537313432835
4,HistGradientBoostingClassifierTuned,0.06,5.633802816901409,0.13592233009708737,0.7,0.22764227642276422,0.20683780803415103,0.7794029850746269
5,Regression@100,100.0,9.859154929577464,0.4838709677419355,0.42857142857142855,0.45454545454545453,0.43778962561683127,0.9141071428571428
5,RegressionTuned,97.0,9.859154929577464,0.45454545454545453,0.42857142857142855,0.4411764705882353,0.43778962561683127,0.9141071428571428
5,LogisticTuned,0.8599999999999999,9.859154929577464,0.32558139534883723,0.4,0.358974358974359,0.3201956617953273,0.8716964285714286
5,RandomForestClassifierTuned,0.43999999999999995,9.859154929577464,0.38333333333333336,0.6571428571428571,0.4842105263157895,0.4237245217713155,0.890267857142857
5,HistGradientBoostingClassifierTuned,0.145,9.859154929577464,0.3333333333333333,0.8571428571428571,0.48,0.4440906993674244,0.9040178571428572
