feature_set,n_features,MAE,RMSE,R2,MedAE
AR + Weather,96,15.311827316887397,20.765251316723703,0.48686872551007,11.598505986377077
Weather only,76,15.854482262856136,20.90231587981687,0.48007234896790174,12.350268014901559
Full,100,15.528929146638147,21.020727859685067,0.4741648650152278,11.947718631953009
AR + Calendar,24,17.79477760394614,24.64550808001718,0.27718084455352987,13.5129137412771
AR only,20,17.20423231178331,25.532006349299092,0.22424606140900938,11.36071827453523
