setup,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Base + CoPollutants,17.2678960607889,4.832761137794236,25.88095098671795,7.969875793392691,0.3875442425420153,0.2655107604255075
Base,19.251616487054445,4.28070917044784,28.679906656095632,7.976837013795697,0.2836288371199072,0.17225407651476893
