horizon,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,MedAE_mean,MedAE_std
1,Ridge | AR + Weather,19.251616487054445,4.28070917044784,28.679906656095632,7.976837013795697,0.2836288371199072,0.17225407651476893,12.784914159357932,1.8871161125671179
1,Rolling7,23.239781705645065,5.411899146364142,34.08831119907484,8.68226636877768,-0.011267636199629916,0.16664536231743513,14.800416058822117,3.10805093367037
1,MonthlyMedian,25.639999999999997,6.2628336478414965,35.145687150422155,7.594762726418963,-0.14159223247280212,0.495486607371416,19.59999999999999,6.455617708631774
1,Naive,26.07774647887324,6.848876991770482,38.557753922397374,11.190942392450705,-0.2775861414941637,0.23721872046608622,16.200000000000006,4.086563348340502
1,LastValidAQI,26.483380281690142,6.555316511697814,39.52524136124642,10.410167335722845,-0.3575009906768345,0.23416441452460993,16.399999999999984,3.847076812334278
2,Ridge | AR + Weather,21.924234089747564,5.252094090315128,32.15254745775196,9.36577989695503,0.10928146120884538,0.1832028623605659,14.733792310547543,2.6678730176740677
2,Rolling7,23.941997849615284,5.50952740658096,34.849660621747965,9.085232164614432,-0.05298005901421059,0.16113496663102914,15.505958396597896,3.1525855281044213
2,MonthlyMedian,25.641126760563385,6.2419391700225235,35.15330987373898,7.585708798925294,-0.14190927311630405,0.4942871466690283,19.6,6.455617708631764
2,Naive,28.335211267605633,7.695163710722112,41.093866785483826,11.774287152699936,-0.4548446982843595,0.2871447640352881,18.599999999999994,4.393176527297763
2,LastValidAQI,28.73070422535211,7.210069387688491,42.07761009922136,10.808859264112709,-0.5413228517377533,0.2631251472165026,18.000000000000014,4.358898943540678
3,Ridge | AR + Weather,22.931107561025186,5.487072863027638,33.26339179065506,9.774540148989537,0.05253127369849571,0.15249023883322002,16.220478446708317,2.8013624806983577
3,Rolling7,24.291418046615597,5.523068127532347,35.215587303599584,9.44095701494521,-0.06979195820835837,0.13403907916656027,16.044481524159,2.759733564351258
3,MonthlyMedian,25.642535211267607,6.221882947725346,35.157649379114986,7.573475767719276,-0.1420973574851473,0.49321514372491204,19.599999999999998,6.45561770863177
3,Naive,28.801408450704223,7.236458942616137,41.67154293622047,11.858918437301613,-0.4950646817047762,0.2738659875066863,18.800000000000004,4.08656334834051
3,LastValidAQI,29.238873239436618,6.662849419611326,42.69976928327943,10.834095342996065,-0.5890251516943276,0.25888948155178854,19.0,3.8078865529319517
5,Ridge | AR + Weather,22.80867693162063,5.382974748006305,33.07667454963354,9.701791512538277,0.065239256297326,0.11815381311370289,15.89085162479147,2.772717109063258
5,Rolling7,24.788530732218852,5.681689980101061,35.89604579364958,9.972185156527456,-0.1048356736772579,0.09005190761562983,15.858253268725942,2.407414300932814
5,MonthlyMedian,25.567887323943662,6.004193089485237,35.1090563524521,7.524145996255239,-0.137034248358481,0.48096154668142516,19.6,6.158327695080859
5,Naive,28.923943661971833,6.536258415378376,42.17386599422734,9.805751513751156,-0.5668622181482585,0.28948150163897973,19.199999999999992,4.764451699828627
5,LastValidAQI,29.380281690140844,6.019830681690554,42.79051571171305,9.21484117911665,-0.6300679335652718,0.338535492748999,19.4,4.037325847637272
7,Ridge | AR + Weather,23.743803502877864,6.042727919540331,34.300749494688326,10.74839824933652,-0.013463996109719467,0.15442793509391725,16.581877458271457,2.739487593425521
7,Rolling7,25.22803301569933,6.214783411741893,36.4167929540326,10.742027551378996,-0.1470064810096412,0.0866740864958706,16.811955102501138,3.26841454464727
7,MonthlyMedian,25.500000000000004,5.858575142640867,35.03063712402088,7.450917498993129,-0.16043388188107968,0.5338637426839576,19.6,5.983310120660637
7,Naive,30.17231638418079,7.165060314486104,43.88590297677908,12.244614584853002,-0.6864468231208636,0.28824907708212844,19.6,3.2093613071762457
7,LastValidAQI,30.571751412429375,6.632350454596549,44.55060439899546,11.66157848289,-0.7503325569288505,0.2895695156926383,19.899999999999995,2.6551836094703467
