feature,importance_mean,importance_std
wind_speed_mean,2.421445088210136,0.32507141781936133
wind_dir_cos,0.8094135737976291,0.17318168061246678
pm25_log_roll7_mean,0.7027433601566496,0.21673865365425732
stagnant_anticyclone,0.5523758209977532,0.1445592937532004
wind_speed_mean_lag1,0.50824909296849,0.25261833361113273
temp_max_lag1,0.4226358034507653,0.13418886742853417
wind_speed_mean_roll7,0.4085716160762938,0.1618540297441637
pm25_log_roll14_mean,0.3873103246478794,0.1701637551213044
valid_count_last_14d,0.3797757372834599,0.12571908483244146
valid_count_last_7d,0.3270674595038119,0.14967653150530472
cold_stagnant,0.309354089761539,0.145285139060544
cold_x_stagnant,0.29861409761758545,0.10931306864056083
temp_mean_lag1,0.2821970186059518,0.10688075633315738
pm25_log_roll14_std,0.27334830338128757,0.10943224108693693
cloud_mean,0.19375213014494186,0.06915774692034671
pm25_log_lag2,0.19185457010308146,0.11802403561302803
pm25_log_lag1,0.16833787294298946,0.12039320648587715
dew_point_mean_lag1,0.16657995457687438,0.07623215238189197
wind_gust_max_lag1,0.16559796516727276,0.09414586325735969
wind_x_stagnant,0.15863363539300374,0.07083586308932219
temp_range,0.13517308525242316,0.13576466113855343
days_below0_last7,0.13322299247269775,0.05758970636357304
dew_point_depression,0.13005268351977478,0.05733850280952389
low_wind_days_last3,0.11976768314841194,0.05279036555340238
high_pressure_streak_lag1,0.117964715088321,0.02956050191040163
temp_mean,0.09734945931771515,0.0447765249498662
cloud_mean_lag3,0.09593336542882218,0.038974077702086614
precip_sum_lag3,0.0956187799848224,0.08226313587715316
pm25_log_lag3,0.09064230806886364,0.08388526425920216
heating_x_wind,0.08999428179014526,0.08650587171233615
wind_speed_max_lag1,0.04961863275604968,0.08190267149882742
dry_days_last7,0.04470591763369906,0.083460342967688
pm25_log_lag7,0.0427016139876228,0.03465169551337041
temp_mean_lag3,0.038288450230645046,0.02645586842906427
humidity_mean,0.037052951405576365,0.08755940340960254
temp_max,0.03544617104343084,0.02094806371002675
pressure_mean_lag3,0.03471092138780305,0.11202858078317189
temp_min_lag3,0.032138082186563374,0.021908398234030218
pressure_mean_roll7,0.03175118784417519,0.024830418439883862
humidity_mean_roll7,0.029767542189761277,0.11578224888582046
last_valid_pm25_decay,0.029693208212184796,0.08547375533126723
temp_min_lag1,0.022811828509430844,0.01364058193208895
wind_gust_max_lag3,0.02277010614319668,0.03627692708277479
dew_point_mean,0.022085785645800726,0.011519157866634334
radiation_mean_roll7,0.02146994613349351,0.01550276826989139
hdd18,0.021442925608749518,0.16065061952640575
wind_speed_max_lag3,0.019321870412893016,0.0512521317574035
pm25_log_roll7_std,0.01694628219064187,0.04042277700167597
days_since_last_valid_pm25,0.01608484346984316,0.019560010921356424
last_valid_pm25_log,0.015514975311668344,0.013701948554591857
temp_max_lag3,0.014263651090391604,0.010937999896046637
wind_dir_sin,0.012588593957557048,0.1854183948625949
precip_sum_lag1,0.009338985250177956,0.03233998011897182
pm25_log_roll3_mean,0.008811119969031367,0.048880880050276174
pm25_log_lag14,0.007832376570749311,0.009286763439922909
dew_point_mean_lag3,0.005394178269417527,0.004240417571778007
low_wind_days_last7,0.004909056847113735,0.028691546957353434
pm25_log_roll3_std,0.004478747772998925,0.021790173545577864
wind_speed_mean_lag3,0.0027071189521183925,0.03254093434800656
continuous_history_7d,0.001951884145985705,0.015102584438946971
has_valid_pm25_lag7,-9.721577617138877e-06,0.0003090975800019127
wind_gust_max_roll7,-0.0003218972370272688,0.00872988734663516
temp_min_roll7,-0.0008995660336267086,0.11101947793418543
humidity_mean_lag1,-0.00099076117876713,0.0006101240201597397
low_wind_streak_lag1,-0.0022990791470975046,0.0009983209245395686
has_valid_pm25_lag1,-0.002536107905427709,0.07152723300354391
wind_speed_max_roll7,-0.002619765260498319,0.014695410079619785
pressure_mean_lag1,-0.003910365896992207,0.038323191776009506
precip_sum_roll7,-0.0047463321651862065,0.020797625111031212
heating_x_pressure,-0.006803966901727953,0.0062731376388112815
pressure_mean,-0.007410648412588561,0.09305632742844495
temp_max_roll7,-0.008359094563688352,0.10539456994967224
wind_dir_cos_lag3,-0.00872400515452867,0.006783183487602763
heating_season,-0.009531748522663896,0.009086664384754943
radiation_mean,-0.009838062049316587,0.05409355645337661
cloud_mean_lag1,-0.010887602869299063,0.004250782413426591
wind_dir_sin_lag1,-0.011167009060227074,0.014374349696562096
days_since_precip_current,-0.01252350251090153,0.021075038380159165
radiation_mean_lag3,-0.013297880096147541,0.01170401810130335
precip_sum,-0.013794577554016918,0.009183072148407944
humidity_mean_lag3,-0.017880576939090176,0.09346688535304372
radiation_mean_lag1,-0.018267340291696233,0.017106952391812952
continuous_history_14d,-0.021789386541958677,0.02616379741335527
cloud_mean_roll7,-0.024801614587031208,0.10938792120112273
temp_mean_roll7,-0.03753653320955186,0.08497805338953378
high_pressure_days_last7,-0.04250699090028069,0.049328983623400595
temp_min,-0.043747673903984194,0.027059921257131064
days_below_m5_last7,-0.043865357602525544,0.03328863363561521
wind_dir_sin_lag3,-0.04474085912426569,0.021332499353746075
dew_point_mean_roll7,-0.04506557119857675,0.07140048915072213
high_pressure_days_last3,-0.04633570580613853,0.051139061306507985
wind_speed_max,-0.04861495813675169,0.050416582181101254
wind_dir_sin_roll7,-0.05554992377660657,0.03707215651094049
wind_dir_cos_lag1,-0.055923342812004596,0.022407198289781334
wind_gust_max,-0.06134393689998792,0.03887040462518966
wind_dir_cos_roll7,-0.062742611997046,0.021119327977513345
