fold,setup,MAE,RMSE,R2,MedAE
1,Base,19.97533370671403,28.16719343359145,0.010088229805143012,13.279840992542788
1,Base + CoPollutants,19.97533370671403,28.16719343359145,0.010088229805143012,13.279840992542788
2,Base,23.85390920584708,38.388833398676546,0.30920341061783907,14.916958624589284
2,Base + CoPollutants,23.85390920584708,38.388833398676546,0.30920341061783907,14.916958624589284
3,Base,22.77642945139383,34.981803020147545,0.2740620740500913,14.041058554414164
3,Base + CoPollutants,17.077887819359912,23.84289700381737,0.6627646038424262,12.295824966234179
4,Base,14.81672710138623,21.23414931029344,0.3418464894640678,10.4328260265072
4,Base + CoPollutants,13.504875251371127,21.35889474557075,0.334090792874001,8.194102847192113
5,Base,14.835682969931051,20.627554117769165,0.48294398166239494,11.253886598736223
5,Base + CoPollutants,11.927474320652351,17.646936351933622,0.6215741755706672,8.16351618084338
