split,period,n_rows,valid_pm25,missing_pm25,valid_pct,events_gt100
Train,2018-06-04 → 2024-08-18,2268,1970,298,86.9,221
Test (Holdout),2024-08-19 → 2026-03-08,567,165,402,29.1,23
