horizon,fold,model,MAE,RMSE,R2,MedAE
1,1,Ridge | AR + Weather,19.97533370671403,28.16719343359145,0.010088229805143012,13.279840992542788
1,1,Naive,25.84225352112676,35.70781269307802,-0.5908741740073655,17.0
1,1,Rolling7,22.841144421452018,31.990165506714057,-0.2768571408066538,14.877868791182408
1,1,LastValidAQI,26.228169014084507,36.664869780981604,-0.6772956838643103,16.999999999999993
1,1,MonthlyMedian,33.787323943661974,40.256142913268796,-1.02196511335569,30.000000000000004
1,2,Ridge | AR + Weather,23.85390920584708,38.388833398676546,0.30920341061783907,14.916958624589284
1,2,Naive,33.1887323943662,51.130101935588414,-0.22544457286032493,20.999999999999986
1,2,Rolling7,28.768233228653198,43.928536118106734,0.0954474179088447,18.3609299180159
1,2,LastValidAQI,33.290140845070425,51.226423639302006,-0.23006604188967938,20.999999999999986
1,2,MonthlyMedian,28.847887323943663,42.63523636948305,0.14792523044095196,20.50000000000002
1,3,Ridge | AR + Weather,22.77642945139383,34.981803020147545,0.2740620740500913,14.041058554414164
1,3,Naive,32.67887323943662,49.4501883389797,-0.4506111335600511,19.000000000000014
1,3,Rolling7,28.684990972891416,42.443095728356326,-0.06863455321447831,17.37446446613461
1,3,LastValidAQI,32.89859154929577,49.79391331093492,-0.47084742364944554,19.0
1,3,MonthlyMedian,26.704225352112676,38.69057460648888,0.1119744413215511,18.99999999999998
1,4,Ridge | AR + Weather,14.81672710138623,21.23414931029344,0.3418464894640678,10.4328260265072
1,4,Naive,18.194366197183097,26.902798430280107,-0.05645835931182308,12.000000000000028
1,4,Rolling7,17.294221126885372,25.35510948000149,0.06159902851641752,11.55954903685448
1,4,LastValidAQI,19.633802816901408,30.391900329426633,-0.34825854373699716,12.999999999999957
1,4,MonthlyMedian,18.438028169014085,25.3974463615959,0.058462608244158054,13.999999999999993
1,5,Ridge | AR + Weather,14.835682969931051,20.627554117769165,0.48294398166239494,11.253886598736223
1,5,Naive,20.484507042253522,29.59786821406064,-0.06454246773125383,11.999999999999996
1,5,Rolling7,18.61031877834333,26.724649162195593,0.1321070665977203,11.829268081923185
1,5,LastValidAQI,20.366197183098592,29.549099745586965,-0.06103726024374012,11.99999999999999
1,5,MonthlyMedian,20.422535211267604,28.74903550127414,-0.004358329014981788,14.499999999999964
2,1,Ridge | AR + Weather,21.74191967111298,30.47716698754457,-0.15893352164890118,15.359706723411868
2,1,Naive,28.43943661971831,38.68332974292674,-0.8670546711629521,19.999999999999993
2,1,Rolling7,23.426335028467513,32.54726019890355,-0.3217161827818493,17.10846558920601
2,1,LastValidAQI,28.65070422535211,39.452342439247666,-0.9420254803360979,19.0
2,1,MonthlyMedian,33.75211267605634,40.23595897162385,-1.0199380441048058,30.0
2,2,Ridge | AR + Weather,28.251697746357802,43.51628264866592,0.1123455521908232,18.25747326871215
2,2,Naive,36.12394366197183,54.48183571187017,-0.39137379689027063,23.000000000000014
2,2,Rolling7,30.15956311800386,46.00815515374991,0.007775391291475975,18.49718094772198
2,2,LastValidAQI,36.07605633802817,54.44783005027013,-0.389637444954956,23.000000000000014
2,2,MonthlyMedian,28.83661971830986,42.640703294678296,0.14770670097684968,20.50000000000002
2,3,Ridge | AR + Weather,26.05197437766947,40.101662671830795,0.04601869220504706,15.906592236640424
