approach,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap_mean,ap_std,roc_auc_mean,roc_auc_std,threshold_mean
HistGradientBoostingClassifierTuned,0.3165591123125697,0.21582072446753606,0.5861815568198547,0.3476498248258419,0.35789524608935686,0.20649206635010323,0.3784148639400498,0.17821877382684026,0.8361017876780383,0.06719474303153562,0.189
RandomForestClassifierTuned,0.26850883132704906,0.14723244409022265,0.6004314204314205,0.3158300023202403,0.35051151878536907,0.16917291904280668,0.3761840348545381,0.1379113848574897,0.8448863110918884,0.05157399811858397,0.31199999999999994
LogisticTuned,0.2745932630658077,0.1621747777950587,0.514688125113657,0.3022523496592706,0.2973076825602159,0.10970926951710325,0.3736399305802382,0.16674430056847447,0.8093999508787121,0.07720997914392043,0.5109999999999999
RegressionTuned,0.2434114103495705,0.19272292123398913,0.5514589665653495,0.385207091185462,0.29438220746795024,0.1871295176406701,0.381394381509665,0.15439356479731042,0.8410883117507904,0.08138217449839064,73.7
Regression@100,0.48788530465949825,0.3579848936123919,0.24160081053698076,0.1766818054817471,0.2895904095904096,0.17578804914475143,0.381394381509665,0.15439356479731042,0.8410883117507904,0.08138217449839064,100.0
