fold,model,feature_set,MAE,RMSE,R2,MedAE
2,WeightedRidge,AR only,29.070709874183724,43.02019026249815,0.13246898682896746,20.90473771329032
2,RandomForest,AR only,27.07393208774575,43.22032278530074,0.12437859869737034,16.284492129834966
2,HistGradientBoosting,AR only,27.74089396932595,43.91581121300238,0.09597139069139426,18.06762720387183
3,Ridge,Full,22.74109649154698,34.96322673694277,0.2748328546747092,14.106346542903694
3,WeightedRidge,Full,23.289580891516266,33.6296854864317,0.3290954800839305,15.623703691331357
3,RandomForest,Full,23.54011331519044,36.25051682925638,0.22045083290088952,14.784723157642485
3,HistGradientBoosting,Full,22.280060604245808,34.55600214583279,0.2916268507928589,13.327937932729888
3,Ridge,AR + Weather,22.77642945139383,34.981803020147545,0.2740620740500913,14.041058554414164
3,WeightedRidge,AR + Weather,23.307518844067474,33.6726905693051,0.3273784998633156,15.374004605727905
3,RandomForest,AR + Weather,23.47265692973881,36.408919692264874,0.2136232000586603,13.809766090226592
3,HistGradientBoosting,AR + Weather,22.530618592766398,34.68770873097194,0.28621678022131103,13.756731295217286
3,Ridge,Weather only,22.4151759827306,33.13139147295951,0.3488298884030322,15.105591493743045
3,WeightedRidge,Weather only,23.812666020387027,33.18397713967647,0.3467611923830096,16.616674017297186
3,RandomForest,Weather only,22.872609594317357,34.22524142441349,0.3051226640572262,15.470433443782248
3,HistGradientBoosting,Weather only,22.61087134483631,33.38966452137732,0.3386380312094436,15.142283005843858
3,Ridge,AR + Calendar,26.175351867118383,39.668850145449035,0.06649998244033828,16.833476314234552
3,WeightedRidge,AR + Calendar,28.434217356946,40.05647624194323,0.04816736735642846,20.498105760586213
3,RandomForest,AR + Calendar,26.470837907930317,40.56206142361694,0.023988031975161084,16.134410099514277
3,HistGradientBoosting,AR + Calendar,27.743654764160222,42.36517160022514,-0.06471419954028312,16.43702595390372
3,Ridge,AR only,26.600476995677607,40.40865538116015,0.03135664172722419,17.394177801032335
3,WeightedRidge,AR only,29.632538226961056,42.07913436967789,-0.05038545824731733,19.817644753447517
3,RandomForest,AR only,26.788338377718645,41.56058609936593,-0.024656815953223,14.61263090277658
3,HistGradientBoosting,AR only,27.93167670339573,42.13140091579554,-0.05299644901553924,16.529980078776504
4,Ridge,Full,14.887441142725496,21.46683494860927,0.32734325282938437,10.043120271987839
4,WeightedRidge,Full,18.427203206978508,26.34655571471763,-0.013223290978321867,12.770950450094496
4,RandomForest,Full,13.257685143471658,19.77061853273279,0.42944438763562964,8.194255885074327
